name,size,complex,source,local,nearby,regional,distant
Shawm,L,3,34.5,51.8,142,198.8,278.3
String Drum,M,2,27,40.5,89,115.7,150.4
Tabor Drum,M,2,6.5,9.8,21.4,27.8,36.2
Tabor Pipe,S,3,26.5,39.8,68.7,82.4,98.9
Timbrel,S,3,5.5,8.3,14.3,17.1,20.5
Viol,M,4,100,150,329.6,428.4,556.9
Zampogna,L,3,75,112.5,308.7,432.2,605.1

Poisons & Toxins

Blacknessel,T,5,110,165,219.6,241.6,265.7
Blue Glory,T,5,70,105,139.8,153.7,169.1
Bondweed,T,5,55,82.5,109.8,120.8,132.9
Griffin Hair,T,5,40,60,79.9,87.8,96.6
Lylullin,T,5,105,157.5,209.6,230.6,253.7
Maidenscap,T,5,135,202.5,269.5,296.5,326.1
Palm of St Germain,T,5,60,90,119.8,131.8,144.9
Tears of Sicyon,T,5,115,172.5,229.6,252.6,277.8
Wolfsbane,T,5,75,112.5,149.7,164.7,181.2

Clothing

Belt~Leather,S,2,1,1.5,2.6,3.1,3.7
Boots~Leather,S,2,12,18,31.1,37.3,44.8
Breeches,S,2,12,18,31.1,37.3,44.8
Cloak,M,1,3,4.5,9.9,12.9,16.7
Coat~Long,M,3,30,45,98.9,128.5,167.1
Coat~Leather,M,3,45,67.5,148.3,192.8,250.6
Dress,S,2,18,27,46.7,56,67.2
Gauntlets,S,4,35,52.5,90.7,108.9,130.6
Gloves,S,2,5,7.5,13,15.6,18.7
Hat,S,2,4,6,10.4,12.4,14.9
Jacket~Leather,S,3,33,49.5,85.5,102.6,123.2
Kilt,S,2,18,27,46.7,56,67.2
Sandals,S,1,4,6,10.4,12.4,14.9
Shirt,S,1,12.5,18.8,32.4,38.9,46.7
Shoes~Leather,S,3,7,10.5,18.1,21.8,26.1
Socks,S,1,1.2,1.8,3.1,3.7,4.5
Sweater,S,1,12,18,31.1,37.3,44.8
Vest,S,1,9,13.5,23.3,28,33.6

Clothing~Accessories

Button,D,1,0.3,0.4,0.5,0.5,0.6
Collar~Dog,S,2,0.8,1.2,2.1,2.5,3
Handkerchief~1 Ft Sq.,S,3,0.5,0.8,1.3,1.6,1.9
Horse Shoe,M,2,3,4.5,9.9,12.9,16.7
Saddle,L,3,75,112.5,308.7,432.2,605.1
Scarf~4ft,S,3,5.5,8.3,14.3,17.1,20.5
Staff~Walking,M,1,2,3,6.6,8.6,11.1

Containers~Heavy

Barrel~15 Gallon~Water Tight,L,3,9,13.5,37,51.9,72.6
Barrel~20 Gallon~Water Tight,L,3,11,16.5,45.3,63.4,88.7
Basket~Wicker~9"dx10"h,M,1,4,6,13.2,17.1,22.3
Basket~Wicker~Water Tight Gum~9"dx10"h,M,1,7,10.5,23.1,30,39
Basket~Straw~Plaited~6"dx6"h,M,1,2,3,6.6,8.6,11.1
Basket~Wicker~Handle~15"x8"x6"h,M,1,5,7.5,16.5,21.4,27.8
Bottle~Glass,S,5,0.4,0.6,1,1.2,1.5
Bucket~2 Gallon~Hemp Handle,M,3,3,4.5,9.9,12.9,16.7
Cart~Donkey/pony~Wooden,H,3,40,60,202.5,303.8,455.6
Cart~Push~Wooden~One-axle~Small,H,3,25,37.5,126.6,189.8,284.8
Cask~2 Gallon~Water Tight,M,3,6,9,19.8,25.7,33.4
Flask~Glass~Pint,S,4,0.7,1,1.8,2.2,2.6
Jug~Earthenware~1 Gal.,M,3,4,6,13.2,17.1,22.3
Pot~Earthenware~1gal.,S,2,1.3,2,3.4,4,4.9
Saddlebags~Leather,M,3,10,15,33,42.8,55.7
Ship~Merchant~Ocean Going,G,4,75000,112500,460800,737280,1179648
Wagon~Cargo,H,4,1200,1800,6075,9112.5,13668.8
Containers~Personal
Name,Carry Bonus,Size,Complex,Source,Local,Nearby,Regional,Distant
Backpack~Leather~Small,+M,S,3,9,13.5,23.3,28,33.6
Backpack~Leather~Medium,+2M,S,3,10,15,25.9,31.1,37.3
Backpack~Leather~Large,+L,S,3,15,22.5,38.9,46.7,56
Bag~Small,+2S,S,2,5,7.5,13,15.6,18.7
Bag~Medium,+M,S,2,6.5,9.8,16.8,20.2,24.3
Canteen~quart,*,S,2,2,3,5.2,6.2,7.5
Coin Purse~3"x4",*,S,2,0.4,0.6,1,1.2,1.5
Pouch~Belt~Small,+S,S,2,0.5,0.8,1.3,1.6,1.9
Pouch~Belt~Medium,+2S,S,2,1.2,1.8,3.1,3.7,4.5
Quiver~12 Cap,*,M,2,2.5,3.8,8.2,10.7,13.9
Quiver~Javelin~8 Cap,*,L,2,2.5,3.8,10.3,14.4,20.2
Sheathe~Small,*,S,3,2.5,3.8,6.5,7.8,9.3
Sheathe~Medium,*,S,3,5,7.5,13,15.6,18.7
Sheathe~Large,*,S,3,10,15,25.9,31.1,37.3
Sheathe~Huge,*,S,3,15,22.5,38.9,46.7,56
Scroll Case~12 cap,*,S,3,6,9,15.6,18.7,22.4
Waterskin~Gallon,*,S,3,5,7.5,13,15.6,18.7
Waterskin~Half Gallon,*,S,3,3,4.5,7.8,9.3,11.2

Armor

Banded Mail,M,4,335,502.5,1104,1435.2,1865.7
Brigandine,M,5,650,975,2142.1,2784.7,3620.1
Buff Coat,S,3,130,195,337,404.4,485.2
Breastplate,M,4,200,300,659.1,856.8,1113.9
Chainmail,M,4,390,585,1285.2,1670.8,2172.1
Coat of Plates,M,4,190,285,626.1,814,1058.2
Gambeson,S,3,90,135,233.3,279.9,335.9
Lamellar,M,5,370,555,1219.3,1585.1,2060.7
Leather,S,3,190,285,492.5,591,709.2
Full Plate,L,6,2125,3187.5,8746.5,12245.1,17143.1
Plated Mail,L,6,1140,1710,4692.2,6569.1,9196.8
Ringmail,M,4,350,525,1153.4,1499.5,1949.3
Scale,L,6,1075,1612.5,4424.7,6194.6,8672.4
Splintmail,M,4,275,412.5,906.3,1178.1,1531.6

Animals~Livestock & Pets

Chicken,1,0.55,0.8,1.8,2.4,3.1
Dog~Guard~Trained,3,45,67.5,148.3,192.8,250.6
Dog~Hunting~Trained,2,35,52.5,115.3,149.9,194.9
Dog~War~Trained,3,65,97.5,214.2,278.5,362
Donkey,2,70,105,230.7,299.9,389.9
Goat,2,5,7.5,16.5,21.4,27.8
Lamb,2,7,10.5,23.1,30,39
Lobster~Live,2,0.1,0.2,0.3,0.4,0.6
Ox,2,120,180,395.5,514.1,668.3
Rabbit,1,1,1.5,3.3,4.3,5.6
Steer,2,60,90,197.7,257,334.2

Animals~Mounts

Camel~Bachrian,2,180,270,593.2,771.1,1002.5
Camel~Dromedary,2,180,270,593.2,771.1,1002.5
Goat~Riding,2,125,187.5,411.9,535.5,696.2
Horse~Courser,3,250,375,823.9,1071,1392.3
Horse~Destrier,3,350,525,1153.4,1499.5,1949.3
Horse~Palfrey,3,175,262.5,576.7,749.7,974.6
Horse~Rounsey,3,100,150,329.6,428.4,556.9
Horse~Sumpter,3,75,112.5,247.2,321.3,417.7
Lizard~Pack,3,150,225,494.3,642.6,835.4
Lizard~Riding,3,250,375,823.9,1071,1392.3
Mule,2,90,135,296.6,385.6,501.2
Reindeer,2,175,262.5,576.7,749.7,974.6
